,name,c1,c2,c3,c4,movie,actor,sex,emotion,age,face_direction
0,Vajramuni_1.jpg,139,50,24,28,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
1,Vajramuni_10.jpg,148,67,55,67,odahuttidavaru,Vajramuni,MALE,DISGUST,MIDDLE,FRONTAL
2,Vajramuni_101.jpg,164,67,28,33,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,RIGHT
3,Vajramuni_102.jpg,161,68,25,32,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,RIGHT
4,Vajramuni_104.jpg,156,99,22,38,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,RIGHT
5,Vajramuni_105.jpg,167,52,110,148,odahuttidavaru,Vajramuni,MALE,SURPRISE,MIDDLE,FRONTAL
6,Vajramuni_107.jpg,167,54,108,140,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,FRONTAL
7,Vajramuni_108.jpg,147,41,120,145,odahuttidavaru,Vajramuni,MALE,DISGUST,MIDDLE,LEFT
8,Vajramuni_111.jpg,146,56,41,58,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,RIGHT
9,Vajramuni_113.jpg,93,61,58,78,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,LEFT
10,Vajramuni_115.jpg,175,54,18,41,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,LEFT
11,Vajramuni_116.jpg,159,55,30,43,odahuttidavaru,Vajramuni,MALE,SURPRISE,MIDDLE,RIGHT
12,Vajramuni_117.jpg,100,62,66,84,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
13,Vajramuni_119.jpg,131,49,63,82,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
14,Vajramuni_120.jpg,182,63,15,25,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,RIGHT
15,Vajramuni_121.jpg,171,110,81,107,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,RIGHT
16,Vajramuni_123.jpg,81,76,36,44,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
17,Vajramuni_124.jpg,77,63,45,52,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
18,Vajramuni_126.jpg,173,41,69,79,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,UP
19,Vajramuni_127.jpg,161,82,57,63,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,UP
20,Vajramuni_128.jpg,172,69,60,76,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,RIGHT
21,Vajramuni_129.jpg,136,81,32,31,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,RIGHT
22,Vajramuni_130.jpg,129,56,81,104,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,UP
23,Vajramuni_132.jpg,84,55,46,86,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,LEFT
24,Vajramuni_133.jpg,74,46,110,139,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,RIGHT
25,Vajramuni_14.jpg,148,58,73,105,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,RIGHT
26,Vajramuni_15.jpg,134,40,72,83,odahuttidavaru,Vajramuni,MALE,FEAR,MIDDLE,RIGHT
27,Vajramuni_16.jpg,156,32,55,101,odahuttidavaru,Vajramuni,MALE,SURPRISE,MIDDLE,LEFT
28,Vajramuni_17.jpg,250,98,36,44,odahuttidavaru,Vajramuni,MALE,SURPRISE,MIDDLE,RIGHT
29,Vajramuni_18.jpg,272,133,30,47,odahuttidavaru,Vajramuni,MALE,ANGER,MIDDLE,LEFT
30,Vajramuni_19.jpg,191,50,40,58,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,LEFT
31,Vajramuni_2.jpg,144,47,66,95,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,LEFT
32,Vajramuni_23.jpg,90,69,78,98,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,LEFT
33,Vajramuni_24.jpg,83,59,78,97,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,LEFT
34,Vajramuni_29.jpg,216,43,28,36,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,RIGHT
35,Vajramuni_30.jpg,221,49,25,38,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,RIGHT
36,Vajramuni_32.jpg,163,53,24,33,odahuttidavaru,Vajramuni,MALE,SURPRISE,MIDDLE,DOWN
37,Vajramuni_35.jpg,237,43,25,30,odahuttidavaru,Vajramuni,MALE,NEUTRAL,MIDDLE,LEFT
38,Vajramuni_36.jpg,200,55,21,26,odahuttidavaru,Vajramuni,MALE,SADNESS,MIDDLE,UP
39,Vajramuni_39.jpg,239,43,28,33,odahuttidavaru,Vajramuni,MALE,HAPPINESS,MIDDLE,DOWN
